name,profileUrl,url,desc,phone,fax,email,type,isPublic,publicHours,hasOnSiteTastingRoom,region,img,wines,id,White Wines,Red Wines,Other Types,Alvarinho,Barbera,Black Muscat,Blend - Bordeaux Style Red,Blend - Bordeaux Style White,Blend - Other Red,Blend - Other White,Blend - Proprietary Red,Blend - Proprietary White,Blend - Rhone Style Red,Blend - Rhone Style White,Cabernet Franc,Cabernet Sauvignon,Carmenere,Chardonnay,Chenin Blanc,Cider,Cinsault,Dolcetto,Folle Blanche/ Picpoul Blanc,Fruit,Fume Blanc,Gamay Noir,Gewurztraminer,Grenache Blanc,Grenache Noir,Gruner Veltliner,Late Harvest/Dessert/Ice Wine,Lemberger,Madeleine Angevine,Malbec,Marechal Foch,Mead,Merlot,Montepulciano,Mourvedre,Muller-Thurgau,Muscat Blanc,Muscat Canelli,Muscat Noir,Nebbiolo,Orange Muscat,Other,Petit Verdot,Petite Sirah,Pinot Blanc,Pinot Gris,Pinot Noir,Primitivo,Riesling,Rose,Roussanne,Sagrantino,Sake,Sangiovese,Sauvignon Blanc,Semillon,Siegerrebe,Sparkling,Sylvaner,Syrah,Tempranillo,Tinto Cao,Touriga Nacional,Viognier,Zinfandel
'37 Cellars,https://www.washingtonwine.org/wineries/37-cellars/,http://www.37cellars.com,"‘37 Cellars is a small winery specializing in making small lot, handcrafted wines using grapes from some of the finest vineyards in the state. We now have Cabernet Sauvignon, Merlot, a Bordeaux Style Blend, Cab Franc, Petit Verdot and Chardonnay fo",509-679-0668 or 480-296-4096,,Frank@37cellars.com and Chuck@37cellars.com,Winery,True,"By appointment only, but we would love to see you -  509-679-0668 or 480-296-4096",,Leavenworth,https://wswc-1290.kxcdn.com/_assets/c48d442a8468715d8c10d8fbcb1d6808/37-cellars-ad-11-11-10-12-F.jpg,"[{'objectName': '409b775e5c84476d6085f574989fab18', 'name': '2010 Cabernet Sauvignon from Pepper Bridge, Seven Hills West and Bacchus Vineyards', 'variety': 'Cabernet Sauvignon'}, {'objectName': 'cb4cc01d0eae960b360757724dda92f2', 'name': '2012 Pepper Bridge Vineyard  Merlot', 'variety': 'Merlot'}, {'objectName': '27cfd0cef51706321115450ae988280d', 'name': '2013 Chardonnay', 'variety': 'Chardonnay'}]",2095,1,2,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14 Hands Winery,https://www.washingtonwine.org/wineries/14-hands-winery/,http://www.14hands.com,14 Hands wines are inspired by the unbridled spirit of the wild horses that once freely roamed eastern Washington. Measuring just fourteen hands tall — a “hand” equivalent to the width of one’s palm — these tenacious little horses...,800-301-0773,,info@14hands.com,Winery,True,10 AM - 5 PM,1,Prosser,https://wswc-1290.kxcdn.com/_assets/a7386707f7143d5f583a4f4b3084fbe2/FTH Winery Logo Color (430pix).jpg,"[{'objectName': 'd0132f8ecbd1680fcda0f5691d2c338a', 'name': '14 Hands Cabernet Sauvignon', 'variety': 'Cabernet Sauvignon'}, {'objectName': 'b623aae44e0eecf92aad4cef299111db', 'name': '14 Hands Chardonnay', 'variety': 'Chardonnay'}, {'objectName': '1c85519220cd1a60df06165d26744464', 'name': '14 Hands Merlot', 'variety': 'Merlot'}, {'objectName': 'ca8b8d6217b3638df654871983a6b548', 'name': '14 Hands Hot to Trot White Blend', 'variety': 'Blend - Other White'}, {'objectName': 'f5ac9b89bb08fb1317323b73c3cb8e93', 'name': '14 Hands Riesling ', 'variety': 'Riesling'}, {'objectName': 'e36d165ae6c7325197164decc05b7ac5', 'name': '14 Hands Pinot Gris', 'variety': 'Pinot Gris'}, {'objectName': '4d014c1df27ff3a1cdcd9fd82cfbf1f8', 'name': '14 Hands Brut', 'variety': 'Sparkling'}, {'objectName': 'fe53dd54c054d082275fe80132ea3dba', 'name': '14 Hands Sauvignon Blanc', 'variety': 'Sauvignon Blanc'}, {'objectName': '73bfa44a9d872b42035b91540f76fac9', 'name': '14 Hands Kentucky Derby® Red Blend', 'variety': 'Blend - Other Red'}, {'objectName': '8b2535e873bab44b5d6357189f064396', 'name': '14 Hands Stampede Red Blend', 'variety': 'Blend - Other Red'}, {'objectName': 'dad09eefee355c430a3aabc0377beac6', 'name': '14 Hands The Reserve Cabernet Sauvignon', 'variety': 'Cabernet Sauvignon'}, {'objectName': 'e8168ee1a06046e390693f541e0e91b6', 'name': '14 Hands The Reserve Red Blend', 'variety': 'Blend - Other Red'}, {'objectName': '7e4d35bab07fe22d1c726c17577368b9', 'name': '14 Hands The Reserve Merlot', 'variety': 'Merlot'}, {'objectName': '8e94ee01d26e234db78024773c7a6535', 'name': '14 Hands Hot to Trot Red Blend', 'variety': 'Blend - Other Red'}]",1982,5,8,1,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
21 Cellars,https://www.washingtonwine.org/wineries/21-cellars/,http://www.21cellars.com,Award winning boutique winery specializing in both old-world and highly innovative winemaking techniques.,(253) 220-7752,,philip@21cellars.com,Winery,True,Sat 4PM - 6PM,1,Greater Seattle Area,https://wswc-1290.kxcdn.com/_assets/504e06d911d51b69275664a5a1edaeac/Logo.jpg,"[{'objectName': 'd3e8d8cef3598b1129ddb291f8c4dd23', 'name': '2008 Promesse 21', 'variety': 'Cabernet Sauvignon'}, {'objectName': '{1BCD8619-25BB-2D04-D36E-CA36001926AF}', 'name': '2006 Pont 21', 'variety': 'Cabernet Sauvignon'}, {'objectName': 'f2d112d242bbe12c99e87f64e141a500', 'name': '2007 Pont 21', 'variety': 'Cabernet Sauvignon'}, {'objectName': '08f134c9a1576ca2aec603f81874aaf8', 'name': '2010 Pont 21 Tempranillo', 'variety': 'Tempranillo'}, {'objectName': '04b37f6aaf73ac4d45fcc1e7dd849c8c', 'name': '2009 Pont 21 Malbec', 'variety': 'Malbec'}, {'objectName': '321a8ccd2388f88aaee7a23fb8431d24', 'name': '2010 OmRikki Sauvignon Blanc', 'variety': 'Sauvignon Blanc'}]",6913,1,5,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
2dor Wines,https://www.washingtonwine.org/wineries/2dor-wines/,,,,,,Winery,True,Daily 11AM - 5PM,1,Prosser,https://wswc-1290.kxcdn.com/_assets/84de5730f3cf7b60ec36c752933091fa/2dor wines logo.jpg,[],20001,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
A Cottage Farm Winery,https://www.washingtonwine.org/wineries/a-cottage-farm-winery_1/,,,,,,Winery,False,,,,https://wswc-1290.kxcdn.com/_assets/99e94db19d919763b792410e6e086fca/default_profile_img-01.png,[],19024,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Abbe Vineyard Winery,https://www.washingtonwine.org/wineries/abbe-vineyard-winery/,,,,,,Winery,True,"Friday 11am to 6 pm;

Saturday 11 am to 6 pm;

Sunday 11 am to 5 pm (closed on Sundays for the winter);

You are welcome to call 206-679-4151 if you wish to visit during the non posted hours.",,Greater Seattle Area,https://wswc-1290.kxcdn.com/_assets/99e94db19d919763b792410e6e086fca/default_profile_img-01.png,[],19145,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Abeja,https://www.washingtonwine.org/wineries/abeja_1/,http://www.abeja.net,"Located in the rolling foothills of Walla Walla's Blue Mountains, our beautifully restored century-old farmstead provides the perfect setting for extraordinary winemaking and world-class hospitality. We invite you to join our waiting list and to...",509-526-7400,509-529-3292,wine@abeja.net,Winery,False,Tasting are reserved for Mailing List members and guests of the Inn at Abeja; by appointment only.,1,Walla Walla,https://wswc-1290.kxcdn.com/_assets/c9c0738f1f5d842776e930d07014643e/Abeja logo color small.jpg,"[{'objectName': 'd63b39530b3ecbd328e54ee15c3fd5f8', 'name': 'Cabernet Sauvignon, Columbia Valley', 'variety': 'Cabernet Sauvignon'}, {'objectName': '478a89faa92563b50918daf95d54ded7', 'name': 'Merlot, Columbia Valley', 'variety': 'Merlot'}, {'objectName': '4482db479a02ca30a07ee61dec894b95', 'name': 'Chardonnay, Washington State', 'variety': 'Chardonnay'}]",217,1,2,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Adamant Cellars,https://www.washingtonwine.org/wineries/adamant-cellars/,http://www.adamantcellars.com,To know the joy found in all things.,509-529-4161,509-529-4161 (call First),devin@adamantcellars.com,Winery,True,Daily 11am - 5pm,1,Walla Walla,https://wswc-1290.kxcdn.com/_assets/3fc2353d75478db33afaa6a739c74981/09_WMCabSauvA.jpg,"[{'objectName': '34d1ed63bda71fea694eb57b2de624bc', 'name': ""Winemaker's Select Merlot"", 'variety': 'Merlot'}, {'objectName': '061d9b26ecfa1ff4658853fc99ac01b4', 'name': 'Syrah', 'variety': 'Syrah'}, {'objectName': '2a1da15cceff4bc76348d300ff813e46', 'name': 'Sparkling -- Scintillate', 'variety': 'Tempranillo'}, {'objectName': 'e921f0b091cbe8b5c34275b272ae01e9', 'name': ""Winemaker's Select Cabernet Sauvignon"", 'variety': 'Cabernet Sauvignon'}, {'objectName': '9526a37df0bf469e441f45c648b46b52', 'name': 'Our little Gem of a White -- Bijoux', 'variety': 'Blend - Bordeaux Style White'}, {'objectName': '419842a3381217bb9fa84d1a400ab92a', 'name': 'Bordeaux Style Blend -- Nalin', 'variety': 'Merlot'}]",218,1,5,0,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Adams Bench,https://www.washingtonwine.org/wineries/adams-bench/,http://www.adamsbench.com,"Owner/Winemakers Tim and Erica Blue produce premium Cabernet Sauvignon and Cab Blends, slowly and patiently.  

Our Club membership is fully subscribed, with a waiting list. Please contact info@adamsbench.com for details on joining the waiting...",425-408-1969,425-286-6843,info@adamsbench.com,Winery,True,"Most Saturdays 12-4, Tastings By Appointment - call 425-408-1969",1,Woodinville,https://wswc-1290.kxcdn.com/_assets/5082eddf6a10d3da9670faff4c6f9ace/Logo High Res.jpg,"[{'objectName': 'b906cca03abaf1445f921e30ddf1e378', 'name': '2014 Columbia Valley  ""Reckoning""', 'variety': 'Blend - Other Red'}, {'objectName': 'ed1faed80ca4604e357b14ff87caceee', 'name': '2014 Columbia Valley Cabernet Sauvignon Stillwater Creek Vineyard', 'variety': 'Cabernet Sauvignon'}, {'objectName': '064ce308a08f82bdf3bbf9eff3922d12', 'name': '2014 Yakima Valley Cabernet Sauvignon Red Willow Vineyard', 'variety': 'Cabernet Sauvignon'}, {'objectName': '7b0b0a4449e2a853638f1212e7339c19', 'name': '2014 Horse Heaven Hills Cabernet Sauvignon Mays Discovery Vineyard', 'variety': 'Cabernet Sauvignon'}, {'objectName': '8c7043282621b69b520e874b89d89fea', 'name': '2014 Columbia Valley Cabernet Sauvignon ""the V""', 'variety': 'Cabernet Sauvignon'}]",219,0,5,0,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Adrice Wines,https://www.washingtonwine.org/wineries/adrice-wines_1/,,"The small craft winery of Adrice Wines started in 2012 in Napa, CA when winemaker Pamela Adkins produced our first Rosé the Riveter Rosé with Napa Sangiovese grapes. We made only 19 cases…and didn’t even label the bottles except for...",206-354-7243,,Adricewines@gmail.com,Winery,True,"Friday 2:00- 6:00 pm
Saturday & Sunday 12:00-6:00 pm",1,Woodinville,https://wswc-1290.kxcdn.com/_assets/f4b191e85ca9b298260eb268c879b679/adrice-logo-final-spot.jpg,[],20036,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
