Show,Season,Episode Number,Episode Title,Airdate
Super Girl,Season 5,1,Event Horizon,6 Oct. 2019
Super Girl,Season 5,2,Episode #5.2,13 Oct. 2019
Super Girl,Season 5,3,Blurred Lines,20 Oct. 2019
Super Girl,Season 5,4,Episode #5.4,27 Oct. 2019
Super Girl,Season 5,5,Episode #5.5,3 Nov. 2019
Super Girl,Season 5,6,Episode #5.6,10 Nov. 2019
Super Girl,Season 5,7,Episode #5.7,17 Nov. 2019
Super Girl,Season 5,8,Episode #5.8,24 Nov. 2019
Super Girl,Season 5,9,"Crisis on Infinite Earths, Part 1",8 Dec. 2019
Super Girl,Season 5,10,Episode #5.10,
Super Girl,Season 5,11,Episode #5.11,
Super Girl,Season 5,12,Episode #5.12,
Super Girl,Season 5,13,Episode #5.13,
Super Girl,Season 5,14,Episode #5.14,
Super Girl,Season 5,15,Episode #5.15,
Super Girl,Season 5,16,Episode #5.16,
Super Girl,Season 5,17,Episode #5.17,2020
Super Girl,Season 5,18,Episode #5.18,
Super Girl,Season 5,19,Episode #5.19,
Super Girl,Season 5,20,Episode #5.20,
Super Girl,Season 5,21,Episode #5.21,
Super Girl,Season 5,22,Episode #5.22,
Super Girl,Season 4,1,American Alien,14 Oct. 2018
Super Girl,Season 4,2,Fallout,21 Oct. 2018
Super Girl,Season 4,3,Man of Steel,28 Oct. 2018
Super Girl,Season 4,4,Ahimsa,4 Nov. 2018
Super Girl,Season 4,5,Parasite Lost,11 Nov. 2018
Super Girl,Season 4,6,Call to Action,18 Nov. 2018
Super Girl,Season 4,7,Rather the Fallen Angel,25 Nov. 2018
Super Girl,Season 4,8,Bunker Hill,2 Dec. 2018
Super Girl,Season 4,9,"Elseworlds, Part 3",11 Dec. 2018
Super Girl,Season 4,10,Suspicious Minds,20 Jan. 2019
Super Girl,Season 4,11,Blood Memory,27 Jan. 2019
Super Girl,Season 4,12,Menagerie,17 Feb. 2019
Super Girl,Season 4,13,"What's So Funny About Truth, Justice, and the American Way?",3 Mar. 2019
Super Girl,Season 4,14,Stand and Deliver,10 Mar. 2019
Super Girl,Season 4,15,"O Brother, Where Art Thou?",17 Mar. 2019
Super Girl,Season 4,16,The House of L,24 Mar. 2019
Super Girl,Season 4,17,All About Eve,31 Mar. 2019
Super Girl,Season 4,18,Crime and Punishment,21 Apr. 2019
Super Girl,Season 4,19,American Dreamer,28 Apr. 2019
Super Girl,Season 4,20,Will the Real Miss Tessmacher Please Stand Up?,5 May 2019
Super Girl,Season 4,21,Red Dawn,12 May 2019
Super Girl,Season 4,22,The Quest for Peace,19 May 2019
Super Girl,Season 3,1,Girl of Steel,9 Oct. 2017
Super Girl,Season 3,2,Triggers,16 Oct. 2017
Super Girl,Season 3,3,Far from the Tree,23 Oct. 2017
Super Girl,Season 3,4,The Faithful,30 Oct. 2017
Super Girl,Season 3,5,Damage,6 Nov. 2017
Super Girl,Season 3,6,Midvale,13 Nov. 2017
Super Girl,Season 3,7,Wake Up,20 Nov. 2017
Super Girl,Season 3,8,"Crisis on Earth-X, Part 1",27 Nov. 2017
Super Girl,Season 3,9,Reign,4 Dec. 2017
Super Girl,Season 3,10,Legion of Super-Heroes,15 Jan. 2018
Super Girl,Season 3,11,Fort Rozz,22 Jan. 2018
Super Girl,Season 3,12,For Good,29 Jan. 2018
Super Girl,Season 3,13,Both Sides Now,5 Feb. 2018
Super Girl,Season 3,14,Schott Through the Heart,16 Apr. 2018
Super Girl,Season 3,15,In Search of Lost Time,23 Apr. 2018
Super Girl,Season 3,16,Of Two Minds,30 Apr. 2018
Super Girl,Season 3,17,Trinity,7 May 2018
Super Girl,Season 3,18,Shelter from the Storm,14 May 2018
Super Girl,Season 3,19,The Fanatical,21 May 2018
Super Girl,Season 3,20,Dark Side of the Moon,28 May 2018
Super Girl,Season 3,21,Not Kansas,4 Jun. 2018
Super Girl,Season 3,22,Make It Reign,11 Jun. 2018
Super Girl,Season 3,23,Battles Lost and Won,18 Jun. 2018
Super Girl,Season 2,1,The Adventures of Supergirl,10 Oct. 2016
Super Girl,Season 2,2,The Last Children of Krypton,17 Oct. 2016
Super Girl,Season 2,3,Welcome to Earth,24 Oct. 2016
Super Girl,Season 2,4,Survivors,31 Oct. 2016
Super Girl,Season 2,5,Crossfire,7 Nov. 2016
Super Girl,Season 2,6,Changing,14 Nov. 2016
Super Girl,Season 2,7,The Darkest Place,21 Nov. 2016
Super Girl,Season 2,8,Medusa,28 Nov. 2016
Super Girl,Season 2,9,Supergirl Lives,23 Jan. 2017
Super Girl,Season 2,10,We Can Be Heroes,30 Jan. 2017
Super Girl,Season 2,11,The Martian Chronicles,6 Feb. 2017
Super Girl,Season 2,12,Luthors,13 Feb. 2017
Super Girl,Season 2,13,Mr. & Mrs. Mxyzptlk,20 Feb. 2017
Super Girl,Season 2,14,Homecoming,27 Feb. 2017
Super Girl,Season 2,15,Exodus,6 Mar. 2017
Super Girl,Season 2,16,Star-Crossed,20 Mar. 2017
Super Girl,Season 2,17,Distant Sun,27 Mar. 2017
Super Girl,Season 2,18,Ace Reporter,24 Apr. 2017
Super Girl,Season 2,19,Alex,1 May 2017
Super Girl,Season 2,20,City of Lost Children,8 May 2017
Super Girl,Season 2,21,Resist,15 May 2017
Super Girl,Season 2,22,"Nevertheless, She Persisted",22 May 2017
Super Girl,Season 1,1,Pilot,26 Oct. 2015
Super Girl,Season 1,2,Stronger Together,2 Nov. 2015
Super Girl,Season 1,3,Fight or Flight,9 Nov. 2015
Super Girl,Season 1,4,Livewire,16 Nov. 2015
Super Girl,Season 1,5,How Does She Do It?,23 Nov. 2015
Super Girl,Season 1,6,Red Faced,30 Nov. 2015
Super Girl,Season 1,7,Human for a Day,7 Dec. 2015
Super Girl,Season 1,8,Hostile Takeover,14 Dec. 2015
Super Girl,Season 1,9,Blood Bonds,4 Jan. 2016
Super Girl,Season 1,10,Childish Things,18 Jan. 2016
Super Girl,Season 1,11,Strange Visitor from Another Planet,25 Jan. 2016
Super Girl,Season 1,12,Bizarro,1 Feb. 2016
Super Girl,Season 1,13,For the Girl Who Has Everything,8 Feb. 2016
Super Girl,Season 1,14,"Truth, Justice and the American Way",22 Feb. 2016
Super Girl,Season 1,15,Solitude,29 Feb. 2016
Super Girl,Season 1,16,Falling,14 Mar. 2016
Super Girl,Season 1,17,Manhunter,21 Mar. 2016
Super Girl,Season 1,18,Worlds Finest,28 Mar. 2016
Super Girl,Season 1,19,Myriad,11 Apr. 2016
Super Girl,Season 1,20,Better Angels,18 Apr. 2016
Arrow,Season 8,1,Starling City,15 Oct. 2019
Arrow,Season 8,2,Welcome to Hong Kong,22 Oct. 2019
Arrow,Season 8,3,Leap of Faith,29 Oct. 2019
Arrow,Season 8,4,Present Tense,5 Nov. 2019
Arrow,Season 8,5,Prochnost,12 Nov. 2019
Arrow,Season 8,6,Episode #8.6,19 Nov. 2019
Arrow,Season 8,7,Episode #8.7,26 Nov. 2019
Arrow,Season 8,8,"Crisis on Infinite Earths, Part 4",14 Jan. 2020
Arrow,Season 8,9,Episode #8.9,21 Jan. 2020
Arrow,Season 8,10,Episode #8.10,17 Dec. 2019
Arrow,Season 7,1,Inmate 4587,15 Oct. 2018
Arrow,Season 7,2,The Longbow Hunters,22 Oct. 2018
Arrow,Season 7,3,Crossing Lines,29 Oct. 2018
