Show,Season,Episode Number,Episode Title,Airdate
Arrow,Season 1,1,Pilot,10/10/12
Arrow,Season 1,2,Honor Thy Father,10/17/12
Arrow,Season 1,3,Lone Gunmen,10/24/12
Arrow,Season 1,4,An Innocent Man,10/31/12
Arrow,Season 1,5,Damaged,11/7/12
Arrow,Season 1,6,Legacies,11/14/12
Arrow,Season 1,7,Muse of Fire,11/28/12
Arrow,Season 1,8,Vendetta,12/5/12
Arrow,Season 1,9,Year's End,12/12/12
Arrow,Season 1,10,Burned,1/16/13
Arrow,Season 1,11,Trust But Verify,1/23/13
Arrow,Season 1,12,Vertigo,1/30/13
Arrow,Season 1,13,Betrayal,2/6/13
Arrow,Season 1,14,The Odyssey,2/13/13
Arrow,Season 1,15,Dodger,2/20/13
Arrow,Season 1,16,Dead to Rights,2/27/13
Arrow,Season 1,17,The Huntress Returns,3/20/13
Arrow,Season 1,18,Salvation,3/27/13
Arrow,Season 1,19,Unfinished Business,4/3/13
Arrow,Season 1,20,Home Invasion,4/24/13
Arrow,Season 1,21,The Undertaking,5/1/13
Arrow,Season 1,22,Darkness on the Edge of Town,5/8/13
Arrow,Season 1,23,Sacrifice,5/15/13
Arrow,Season 2,1,City of Heroes,10/9/13
Arrow,Season 2,2,Identity,10/16/13
Arrow,Season 2,3,Broken Dolls,10/23/13
Arrow,Season 2,4,Crucible,10/30/13
Arrow,Season 2,5,League of Assassins,11/6/13
Arrow,Season 2,6,Keep Your Enemies Closer,11/13/13
Arrow,Season 2,7,State v. Queen,11/20/13
Arrow,Season 2,8,The Scientist,12/4/13
Arrow,Season 2,9,Three Ghosts,12/11/13
Arrow,Season 2,10,Blast Radius,1/15/14
Arrow,Season 2,11,Blind Spot,1/22/14
Arrow,Season 2,12,Tremors,1/29/14
Arrow,Season 2,13,Heir to the Demon,2/5/14
Arrow,Season 2,14,Time of Death,2/26/14
Arrow,Season 2,15,The Promise,3/5/14
Arrow,Season 2,16,Suicide Squad,3/19/14
Arrow,Season 2,17,Birds of Prey,3/26/14
Arrow,Season 2,18,Deathstroke,4/2/14
Arrow,Season 2,19,The Man Under the Hood,4/16/14
Arrow,Season 2,20,Seeing Red,4/23/14
Arrow,Season 2,21,City of Blood,4/30/14
Arrow,Season 2,22,Streets of Fire,5/7/14
Arrow,Season 2,23,Unthinkable,5/14/14
Flash,Season 1,1,Pilot,10/7/14
Arrow,Season 3,1,The Calm,10/8/14
Flash,Season 1,2,Fastest Man Alive,10/14/14
Arrow,Season 3,2,Sara,10/15/14
Flash,Season 1,3,Things You Can't Outrun,10/21/14
Arrow,Season 3,3,Corto Maltese,10/22/14
Flash,Season 1,4,Going Rogue,10/28/14
Arrow,Season 3,4,The Magician,10/29/14
Arrow,Season 3,5,The Secret Origin of Felicity Smoak,11/5/14
Flash,Season 1,5,Plastique,11/11/14
Arrow,Season 3,6,Guilty,11/12/14
Flash,Season 1,6,The Flash Is Born,11/18/14
Arrow,Season 3,7,Draw Back Your Bow,11/19/14
Flash,Season 1,7,Power Outage,11/25/14
Flash,Season 1,8,Flash vs. Arrow,12/2/14
Arrow,Season 3,8,The Brave and the Bold,12/3/14
Flash,Season 1,9,The Man in the Yellow Suit,12/9/14
Arrow,Season 3,9,The Climb,12/10/14
Flash,Season 1,10,Revenge of the Rogues,1/20/15
Arrow,Season 3,10,Left Behind,1/21/15
Flash,Season 1,11,The Sound and the Fury,1/27/15
Arrow,Season 3,11,Midnight City,1/28/15
Flash,Season 1,12,Crazy for You,2/3/15
Arrow,Season 3,12,Uprising,2/4/15
Flash,Season 1,13,The Nuclear Man,2/10/15
Arrow,Season 3,13,Canaries,2/11/15
Flash,Season 1,14,Fallout,2/17/15
Arrow,Season 3,14,The Return,2/18/15
Arrow,Season 3,15,Nanda Parbat,2/25/15
Flash,Season 1,15,Out of Time,3/17/15
Arrow,Season 3,16,The Offer,3/18/15
Flash,Season 1,16,Rogue Time,3/24/15
Arrow,Season 3,17,Suicidal Tendencies,3/25/15
Flash,Season 1,17,Tricksters,3/31/15
Arrow,Season 3,18,Public Enemy,4/1/15
Flash,Season 1,18,All Star Team Up,4/14/15
Arrow,Season 3,19,Broken Arrow,4/15/15
Flash,Season 1,19,Who Is Harrison Wells?,4/21/15
Arrow,Season 3,20,The Fallen,4/22/15
Flash,Season 1,20,The Trap,4/28/15
Arrow,Season 3,21,Al Sah-Him,4/29/15
Flash,Season 1,21,Grodd Lives,5/5/15
Arrow,Season 3,22,This Is Your Sword,5/6/15
Flash,Season 1,22,Rogue Air,5/12/15
Arrow,Season 3,23,My Name Is Oliver Queen,5/13/15
Flash,Season 1,23,Fast Enough,5/19/15
Flash,Season 2,1,The Man Who Saved Central City,10/6/15
Arrow,Season 4,1,Green Arrow,10/7/15
Flash,Season 2,2,Flash of Two Worlds,10/13/15
Arrow,Season 4,2,The Candidate,10/14/15
Flash,Season 2,3,Family of Rogues,10/20/15
Arrow,Season 4,3,Restoration,10/21/15
Super Girl,Season 1,1,Pilot,10/26/15
Flash,Season 2,4,The Fury of Firestorm,10/27/15
Arrow,Season 4,4,Beyond Redemption,10/28/15
Super Girl,Season 1,2,Stronger Together,11/2/15
Flash,Season 2,5,The Darkness and the Light,11/3/15
Arrow,Season 4,5,Haunted,11/4/15
Super Girl,Season 1,3,Fight or Flight,11/9/15
Flash,Season 2,6,Enter Zoom,11/10/15
Arrow,Season 4,6,Lost Souls,11/11/15
Super Girl,Season 1,4,Livewire,11/16/15
Flash,Season 2,7,Gorilla Warfare,11/17/15
Arrow,Season 4,7,Brotherhood,11/18/15
Super Girl,Season 1,5,How Does She Do It?,11/23/15
Super Girl,Season 1,6,Red Faced,11/30/15
Flash,Season 2,8,Legends of Today,12/1/15
Arrow,Season 4,8,Legends of Yesterday,12/2/15
Super Girl,Season 1,7,Human for a Day,12/7/15
Flash,Season 2,9,Running to Stand Still,12/8/15
Arrow,Season 4,9,Dark Waters,12/9/15
Super Girl,Season 1,8,Hostile Takeover,12/14/15
Super Girl,Season 1,9,Blood Bonds,1/4/16
Super Girl,Season 1,10,Childish Things,1/18/16
Flash,Season 2,10,Potential Energy,1/19/16
Arrow,Season 4,10,Blood Debts,1/20/16
Legends of Tomorrow,Season 1,1,"Pilot, Part 1",1/21/16
Super Girl,Season 1,11,Strange Visitor from Another Planet,1/25/16
Flash,Season 2,11,The Reverse-Flash Returns,1/26/16
Arrow,Season 4,11,A.W.O.L.,1/27/16
Legends of Tomorrow,Season 1,2,"Pilot, Part 2",1/28/16
Super Girl,Season 1,12,Bizarro,2/1/16
Flash,Season 2,12,Fast Lane,2/2/16
Arrow,Season 4,12,Unchained,2/3/16
Legends of Tomorrow,Season 1,3,Blood Ties,2/4/16
Super Girl,Season 1,13,For the Girl Who Has Everything,2/8/16
Flash,Season 2,13,Welcome to Earth-2,2/9/16
Arrow,Season 4,13,Sins of the Father,2/10/16
